"document","comment_id","flausch"
"NDY-003","1","yes"
"NDY-003","2","yes"
"NDY-003","3","yes"
"NDY-003","4","yes"
"NDY-003","5","yes"
"NDY-003","6","no"
"NDY-003","7","yes"
"NDY-003","8","yes"
"NDY-003","9","no"
"NDY-003","10","yes"
"NDY-003","11","no"
"NDY-003","12","yes"
"NDY-003","13","yes"
"NDY-003","14","no"
"NDY-003","15","yes"
"NDY-003","16","yes"
"NDY-003","17","yes"
"NDY-003","18","yes"
"NDY-003","19","yes"
"NDY-003","20","yes"
"NDY-003","21","yes"
"NDY-003","22","no"
"NDY-003","23","no"
"NDY-003","24","yes"
"NDY-003","25","yes"
"NDY-003","26","no"
"NDY-003","27","no"
"NDY-003","28","yes"
"NDY-003","29","yes"
"NDY-003","30","yes"
"NDY-003","31","yes"
"NDY-003","32","yes"
"NDY-003","33","yes"
"NDY-003","34","yes"
"NDY-003","35","no"
"NDY-003","36","yes"
"NDY-003","37","yes"
"NDY-003","38","yes"
"NDY-003","39","no"
"NDY-003","40","yes"
"NDY-003","41","yes"
"NDY-003","42","no"
"NDY-003","43","no"
"NDY-003","44","no"
"NDY-003","45","yes"
"NDY-003","46","no"
"NDY-003","47","no"
"NDY-003","48","no"
"NDY-003","49","yes"
"NDY-003","50","yes"
"NDY-003","51","yes"
"NDY-003","52","yes"
"NDY-003","53","yes"
"NDY-003","54","no"
"NDY-003","55","no"
"NDY-003","56","yes"
"NDY-003","57","yes"
"NDY-003","58","yes"
"NDY-003","59","no"
"NDY-003","60","no"
"NDY-003","61","no"
"NDY-003","62","no"
"NDY-003","63","yes"
"NDY-003","64","no"
"NDY-003","65","no"
"NDY-003","66","no"
"NDY-003","67","no"
"NDY-003","68","no"
"NDY-003","69","yes"
"NDY-003","70","yes"
"NDY-003","71","yes"
"NDY-003","72","no"
"NDY-003","73","no"
"NDY-003","74","no"
"NDY-003","75","yes"
"NDY-003","76","yes"
"NDY-003","77","yes"
"NDY-003","78","no"
"NDY-003","79","no"
"NDY-003","80","yes"
"NDY-003","81","no"
"NDY-003","82","no"
"NDY-003","83","no"
"NDY-003","84","yes"
"NDY-003","85","yes"
"NDY-003","86","no"
"NDY-003","87","yes"
"NDY-003","88","yes"
"NDY-003","89","no"
"NDY-003","90","yes"
"NDY-003","91","yes"
"NDY-003","92","yes"
"NDY-003","93","yes"
"NDY-003","94","no"
"NDY-003","95","no"
"NDY-003","96","yes"
"NDY-003","97","yes"
"NDY-003","98","no"
"NDY-003","99","yes"
"NDY-003","100","yes"
"NDY-003","101","yes"
"NDY-003","102","yes"
"NDY-003","103","yes"
"NDY-003","104","yes"
"NDY-003","105","no"
"NDY-003","106","no"
"NDY-003","107","yes"
"NDY-003","108","yes"
"NDY-003","109","no"
"NDY-003","110","no"
"NDY-003","111","yes"
"NDY-003","112","no"
"NDY-003","113","no"
"NDY-003","114","no"
"NDY-003","115","yes"
"NDY-003","116","no"
"NDY-003","117","yes"
"NDY-003","118","yes"
"NDY-003","119","no"
"NDY-003","120","no"
"NDY-003","121","yes"
"NDY-003","122","no"
"NDY-003","123","yes"
"NDY-003","124","no"
"NDY-003","125","no"
"NDY-003","126","no"
"NDY-003","127","yes"
"NDY-003","128","no"
"NDY-003","129","yes"
"NDY-003","130","yes"
"NDY-003","131","no"
"NDY-003","132","yes"
"NDY-003","133","yes"
"NDY-003","134","no"
"NDY-003","135","yes"
"NDY-003","136","no"
"NDY-003","137","yes"
"NDY-003","138","no"
"NDY-003","139","no"
"NDY-003","140","no"
"NDY-003","141","no"
"NDY-003","142","yes"
"NDY-003","143","yes"
"NDY-003","144","yes"
"NDY-003","145","yes"
"NDY-003","146","no"
"NDY-003","147","yes"
"NDY-003","148","yes"
"NDY-003","149","no"
"NDY-003","150","yes"
"NDY-003","151","no"
"NDY-003","152","yes"
"NDY-003","153","yes"
"NDY-003","154","no"
"NDY-003","155","no"
"NDY-003","156","no"
"NDY-003","157","no"
"NDY-003","158","no"
"NDY-003","159","no"
"NDY-003","160","no"
"NDY-003","161","no"
"NDY-003","162","no"
"NDY-003","163","yes"
"NDY-003","164","yes"
"NDY-003","165","no"
"NDY-003","166","yes"
"NDY-003","167","no"
"NDY-003","168","yes"
"NDY-003","169","yes"
"NDY-003","170","yes"
"NDY-003","171","no"
"NDY-003","172","no"
"NDY-003","173","no"
"NDY-003","174","yes"
"NDY-003","175","no"
"NDY-003","176","no"
"NDY-003","177","no"
"NDY-003","178","no"
"NDY-003","179","no"
"NDY-003","180","no"
"NDY-003","181","no"
"NDY-003","182","no"
"NDY-003","183","yes"
"NDY-003","184","no"
