1;Brüssel: Attentäter im Terrorprozess zu langjährigen Haftstrafen verurteilt;1
1;Brüssel (Belgien), 19.09.2023;1
1;Der Prozess gegen die Attentäter, die vor sieben Jahren in der Brüsseler U-Bahn und am Flughafen drei Bomben zündeten, ist nun beendet.;3
1;Die Terroranschläge am 22. März 2016 in Brüssel forderten 32 Menschenleben und sorgten für 320 Verletzte.;2
1;Drei weitere Personen starben im weiteren Verlauf durch Krankheit oder Suizid.;2
1;Für diese Tode wurden die Angeklagten ebenfalls zur Verantwortung gezogen.;2
1;Mehr als 900 Nebenkläger nahmen an dem Verfahren teil.;2
1;Das öffentliche Interesse war so enorm, dass auf die Räumlichkeiten eines früheren Nato-Hauptquartiers zurückgegriffen werden musste.;2
1;Bereits im Juli hatte ein Brüsseler Geschworenengericht acht Angeklagte verurteilt und zwei freigesprochen, am vergangenen Freitag wurde nun gemeinsam mit drei Richtern das Strafmaß für die verurteilten Angeklagten festgelegt.;3
1;Die Haftstrafen liegen zwischen 10 und 30 Jahren.;1
1;Ein weiterer Angeklagter war nicht anwesend, er soll in Syrien verstorben sein.;2
2;Augsburg feierte den Mozart-Geburtstag;1
2;Augsburg (Deutschland), 28.01.2006;1
2;In Augsburg wurde gestern von Ministerpräsident Edmund Stoiber (CSU) das bayerische Mozartjahr eröffnet.;1
2;Der Komponist Wolfgang Amadeus Mozart wurde am 27. Januar 1756, also heute vor 250 Jahren, in Salzburg geboren.;2
2;Stoiber sagte, er sehe in Mozart „das größte musikalische Wunder, das die Welt je gesehen hat“.;2
2;Den Bezug zu Augsburg bildete der Vater Mozarts, Leopold Mozart.;2
2;Er war gebürtiger Augsburger.;2
2;In seinem Geburtshaus ist heute ein Mozartmuseum untergebracht.;2
2;Stoiber dankte den Augsburger Bürgern für ihre Zuwendung zu Mozart.;1
2;Er betonte, wie wichtig die Aufgabe sei, die Erinnerung an Mozart wach zu halten.;1
2;Dies könne nicht alleine der Staat erfüllen.;1
3;Einsturz der Goggelesbrücke droht;1
3;Augsburg (Deutschland), 17.02.2005;1
3;Aus zwei Pfeilern der 84 Jahre alten Goggelesbrücke über der Wertach in Augsburg sind Teile herausgebrochen.;1
3;Die beiden Stützen sind seit gestern Nachmittag unterspült.;1
3;Aus Sicherheitsgründen musste die Fussgängerbrücke daher gesperrt werden, meldete die Augsburger Polizei.;1
3;Tiefbauamtsleiter Otto Liepert befürchtet, dass die Brücke, ein Augsburger Wahrzeichen, die nächsten 24 Stunden nicht übersteht.;1
3;Vielen Augsburgern sehen in der Brücke ein lieb gewordenes Bauwerk im Herzen Augsburgs.;2
3;Am Mittwoch kurz nach 13:00 Uhr hörten zwei Stadtstreicher unter der daneben befindlichen Ackermann-Brücke ein lautes Krachen der nahen Goggelesbrücke und riefen die Einsatzzentrale der Polizei zur Hilfe.;1
3;Die Feuerwehr hatte dann gegen 16:00 Uhr mit der Absicherung der Brücke begonnen, es ist aber nicht wahrscheinlich, dass die Arbeiten Erfolg haben werden.;1
3;Mit dem endgültigen Ende der Brücke ist zu rechnen.;1
4;Lisa Marie Presley, 54, gestorben;1
4;Los Angeles (Vereinigte Staaten), 13.01.2023;1
4;Sie war das einzige Kind von Elvis Presley, des King of Rock ’n’ Roll.;2
4;Sie war viermal verheiratet, ihr bekanntester Ehemann war der King of Pop, Michael Jackson.;2
4;Mit Danny Keough, den sie in der Scientology-Sekte kennengelernt hatte, hat sie eine Tochter, die Schauspielerin Riley Keough, und einen Sohn, der 2020 an Suizid starb.;2
4;Ihre dritte Ehe mit Nicolas Cage dauert nur drei Monate. 2006 heiratete sie Michael Lockwood, einen Musiker und Musikproduzenten.;2
4;Aus dieser Ehe gingen 2008 Zwillingstöchter hervor.;2
4;Doch auch diese Ehe wurde geschieden.;2
4;Nun starb Lisa Marie Presley im Alter von 54 Jahren in Calabasas im kalifornischen San Fernando Valley.;1
4;Das teilte ihre Mutter, Priscilla Presley, über Twitter mit.;1
4;Nach amerikanischen Medienangaben wurde Presley nach einem Herzstillstand in ihrem Haus in Calabasas reanimiert und ins Krankenhaus gebracht, wo sie einige Stunden später gestorben ist.;1
4;Ihr letzter öffentlicher Auftritt war am 10. Januar bei den Golden Globe Awards, die sie gemeinsam mit ihrer Mutter Priscilla Presley besuchte.;2
4;Presley war 1993 an ihrem 25. Geburtstag Alleinerbin ihres Vaters.;2
4;Bis dahin war das auf 100 Millionen US-Dollar geschätzte Vermögen von ihrem Großvater Vernon und nach dessen Tod von ihrer Mutter treuhänderisch verwaltet worden.;2
4;2014 verließ sie Scientology.;2
4;Als Musikerin veröffentlichte Lisa Marie Presley drei Studioalben, von denen es zwei in die amerikanischen Top Ten schafften.;2
4;Ihr letztes 2012 veröffentlichtes Album floppte.;2
